-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-112.25,2007,05,01,              6.07
46.25,-111.75,2007,05,01,              6.78
46.25,-111.25,2007,05,01,              6.78
46.25,-110.75,2007,05,01,              6.78
46.25,-110.25,2007,05,01,              6.78
46.25,-109.75,2007,05,01,              7.01
46.25,-109.25,2007,05,01,              7.01
46.25,-108.75,2007,05,01,              7.01
46.25,-108.25,2007,05,01,              7.01
46.75,-112.25,2007,05,01,              6.07
46.75,-111.75,2007,05,01,              6.78
46.75,-111.25,2007,05,01,              6.78
46.75,-110.75,2007,05,01,              6.78
46.75,-110.25,2007,05,01,              6.78
46.75,-109.75,2007,05,01,              7.01
46.75,-109.25,2007,05,01,              7.01
46.75,-108.75,2007,05,01,              7.01
46.75,-108.25,2007,05,01,              7.01
47.25,-112.25,2007,05,01,              5.89
47.25,-111.75,2007,05,01,              6.00
47.25,-111.25,2007,05,01,              6.00
47.25,-110.75,2007,05,01,              6.00
47.25,-110.25,2007,05,01,              6.00
47.25,-109.75,2007,05,01,              6.88
47.25,-109.25,2007,05,01,              6.88
47.25,-108.75,2007,05,01,              6.88
47.25,-108.25,2007,05,01,              6.88
47.75,-112.25,2007,05,01,              5.89
47.75,-111.75,2007,05,01,              6.00
47.75,-111.25,2007,05,01,              6.00
47.75,-110.75,2007,05,01,              6.00
47.75,-110.25,2007,05,01,              6.00
47.75,-109.75,2007,05,01,              6.88
47.75,-109.25,2007,05,01,              6.88
47.75,-108.75,2007,05,01,              6.88
47.75,-108.25,2007,05,01,              6.88
48.25,-112.25,2007,05,01,              5.33
48.25,-111.75,2007,05,01,              5.02
48.25,-111.25,2007,05,01,              5.02
48.25,-110.75,2007,05,01,              5.02
48.25,-110.25,2007,05,01,              5.02
48.25,-109.75,2007,05,01,              6.18
48.25,-109.25,2007,05,01,              6.18
48.25,-108.75,2007,05,01,              6.18
48.25,-108.25,2007,05,01,              6.18
48.75,-112.25,2007,05,01,              5.33
48.75,-111.75,2007,05,01,              5.02
48.75,-111.25,2007,05,01,              5.02
48.75,-110.75,2007,05,01,              5.02
48.75,-110.25,2007,05,01,              5.02
48.75,-109.75,2007,05,01,              6.18
48.75,-109.25,2007,05,01,              6.18
48.75,-108.75,2007,05,01,              6.18
48.75,-108.25,2007,05,01,              6.18
49.25,-112.25,2007,05,01,              4.58
49.25,-111.75,2007,05,01,              4.14
49.25,-111.25,2007,05,01,              4.14
49.25,-110.75,2007,05,01,              4.14
49.25,-110.25,2007,05,01,              4.14
49.25,-109.75,2007,05,01,              5.81
49.25,-109.25,2007,05,01,              5.81
49.25,-108.75,2007,05,01,              5.81
49.25,-108.25,2007,05,01,              5.81
49.75,-112.25,2007,05,01,              4.58
49.75,-111.75,2007,05,01,              4.14
49.75,-111.25,2007,05,01,              4.14
49.75,-110.75,2007,05,01,              4.14
49.75,-110.25,2007,05,01,              4.14
49.75,-109.75,2007,05,01,              5.81
49.75,-109.25,2007,05,01,              5.81
49.75,-108.75,2007,05,01,              5.81
49.75,-108.25,2007,05,01,              5.81
50.25,-112.25,2007,05,01,              4.25
50.25,-111.75,2007,05,01,              3.31
50.25,-111.25,2007,05,01,              3.31
50.25,-110.75,2007,05,01,              3.31
50.25,-110.25,2007,05,01,              3.31
50.25,-109.75,2007,05,01,              3.06
50.25,-109.25,2007,05,01,              3.06
50.25,-108.75,2007,05,01,              3.06
50.25,-108.25,2007,05,01,              3.06
46.25,-112.25,2007,05,02,              3.88
46.25,-111.75,2007,05,02,              4.36
46.25,-111.25,2007,05,02,              4.36
46.25,-110.75,2007,05,02,              4.36
46.25,-110.25,2007,05,02,              4.36
46.25,-109.75,2007,05,02,              4.35
46.25,-109.25,2007,05,02,              4.35
46.25,-108.75,2007,05,02,              4.35
46.25,-108.25,2007,05,02,              4.35
46.75,-112.25,2007,05,02,              3.88
46.75,-111.75,2007,05,02,              4.36
46.75,-111.25,2007,05,02,              4.36
46.75,-110.75,2007,05,02,              4.36
46.75,-110.25,2007,05,02,              4.36
46.75,-109.75,2007,05,02,              4.35
46.75,-109.25,2007,05,02,              4.35
46.75,-108.75,2007,05,02,              4.35
46.75,-108.25,2007,05,02,              4.35
47.25,-112.25,2007,05,02,              4.25
47.25,-111.75,2007,05,02,              4.47
47.25,-111.25,2007,05,02,              4.47
47.25,-110.75,2007,05,02,              4.47
47.25,-110.25,2007,05,02,              4.47
47.25,-109.75,2007,05,02,              5.06
47.25,-109.25,2007,05,02,              5.06
47.25,-108.75,2007,05,02,              5.06
47.25,-108.25,2007,05,02,              5.06
47.75,-112.25,2007,05,02,              4.25
47.75,-111.75,2007,05,02,              4.47
47.75,-111.25,2007,05,02,              4.47
47.75,-110.75,2007,05,02,              4.47
47.75,-110.25,2007,05,02,              4.47
47.75,-109.75,2007,05,02,              5.06
47.75,-109.25,2007,05,02,              5.06
47.75,-108.75,2007,05,02,              5.06
47.75,-108.25,2007,05,02,              5.06
48.25,-112.25,2007,05,02,              4.22
48.25,-111.75,2007,05,02,              4.06
48.25,-111.25,2007,05,02,              4.06
48.25,-110.75,2007,05,02,              4.06
48.25,-110.25,2007,05,02,              4.06
48.25,-109.75,2007,05,02,              4.48
48.25,-109.25,2007,05,02,              4.48
48.25,-108.75,2007,05,02,              4.48
48.25,-108.25,2007,05,02,              4.48
48.75,-112.25,2007,05,02,              4.22
48.75,-111.75,2007,05,02,              4.06
48.75,-111.25,2007,05,02,              4.06
48.75,-110.75,2007,05,02,              4.06
48.75,-110.25,2007,05,02,              4.06
48.75,-109.75,2007,05,02,              4.48
48.75,-109.25,2007,05,02,              4.48
48.75,-108.75,2007,05,02,              4.48
48.75,-108.25,2007,05,02,              4.48
49.25,-112.25,2007,05,02,              4.19
49.25,-111.75,2007,05,02,              3.64
49.25,-111.25,2007,05,02,              3.64
49.25,-110.75,2007,05,02,              3.64
49.25,-110.25,2007,05,02,              3.64
49.25,-109.75,2007,05,02,              4.01
49.25,-109.25,2007,05,02,              4.01
49.25,-108.75,2007,05,02,              4.01
49.25,-108.25,2007,05,02,              4.01
49.75,-112.25,2007,05,02,              4.19
49.75,-111.75,2007,05,02,              3.64
49.75,-111.25,2007,05,02,              3.64
49.75,-110.75,2007,05,02,              3.64
49.75,-110.25,2007,05,02,              3.64
49.75,-109.75,2007,05,02,              4.01
49.75,-109.25,2007,05,02,              4.01
49.75,-108.75,2007,05,02,              4.01
49.75,-108.25,2007,05,02,              4.01
50.25,-112.25,2007,05,02,              3.53
50.25,-111.75,2007,05,02,              3.51
50.25,-111.25,2007,05,02,              3.51
50.25,-110.75,2007,05,02,              3.51
50.25,-110.25,2007,05,02,              3.51
50.25,-109.75,2007,05,02,              3.56
50.25,-109.25,2007,05,02,              3.56
50.25,-108.75,2007,05,02,              3.56
50.25,-108.25,2007,05,02,              3.56
46.25,-112.25,2007,05,03,              2.56
46.25,-111.75,2007,05,03,              3.35
46.25,-111.25,2007,05,03,              3.35
46.25,-110.75,2007,05,03,              3.35
46.25,-110.25,2007,05,03,              3.35
46.25,-109.75,2007,05,03,              3.18
46.25,-109.25,2007,05,03,              3.18
46.25,-108.75,2007,05,03,              3.18
46.25,-108.25,2007,05,03,              3.18
46.75,-112.25,2007,05,03,              2.56
46.75,-111.75,2007,05,03,              3.35
46.75,-111.25,2007,05,03,              3.35
46.75,-110.75,2007,05,03,              3.35
46.75,-110.25,2007,05,03,              3.35
46.75,-109.75,2007,05,03,              3.18
46.75,-109.25,2007,05,03,              3.18
46.75,-108.75,2007,05,03,              3.18
46.75,-108.25,2007,05,03,              3.18
47.25,-112.25,2007,05,03,              2.25
47.25,-111.75,2007,05,03,              2.22
47.25,-111.25,2007,05,03,              2.22
47.25,-110.75,2007,05,03,              2.22
47.25,-110.25,2007,05,03,              2.22
47.25,-109.75,2007,05,03,              2.10
47.25,-109.25,2007,05,03,              2.10
47.25,-108.75,2007,05,03,              2.10
47.25,-108.25,2007,05,03,              2.10
47.75,-112.25,2007,05,03,              2.25
47.75,-111.75,2007,05,03,              2.22
47.75,-111.25,2007,05,03,              2.22
47.75,-110.75,2007,05,03,              2.22
47.75,-110.25,2007,05,03,              2.22
47.75,-109.75,2007,05,03,              2.10
47.75,-109.25,2007,05,03,              2.10
47.75,-108.75,2007,05,03,              2.10
47.75,-108.25,2007,05,03,              2.10
48.25,-112.25,2007,05,03,              1.74
48.25,-111.75,2007,05,03,              1.42
48.25,-111.25,2007,05,03,              1.42
48.25,-110.75,2007,05,03,              1.42
48.25,-110.25,2007,05,03,              1.42
48.25,-109.75,2007,05,03,              2.33
48.25,-109.25,2007,05,03,              2.33
48.25,-108.75,2007,05,03,              2.33
48.25,-108.25,2007,05,03,              2.33
48.75,-112.25,2007,05,03,              1.74
48.75,-111.75,2007,05,03,              1.42
48.75,-111.25,2007,05,03,              1.42
48.75,-110.75,2007,05,03,              1.42
48.75,-110.25,2007,05,03,              1.42
48.75,-109.75,2007,05,03,              2.33
48.75,-109.25,2007,05,03,              2.33
48.75,-108.75,2007,05,03,              2.33
48.75,-108.25,2007,05,03,              2.33
49.25,-112.25,2007,05,03,              1.33
49.25,-111.75,2007,05,03,              1.89
49.25,-111.25,2007,05,03,              1.89
49.25,-110.75,2007,05,03,              1.89
49.25,-110.25,2007,05,03,              1.89
49.25,-109.75,2007,05,03,              3.24
49.25,-109.25,2007,05,03,              3.24
49.25,-108.75,2007,05,03,              3.24
49.25,-108.25,2007,05,03,              3.24
49.75,-112.25,2007,05,03,              1.33
49.75,-111.75,2007,05,03,              1.89
49.75,-111.25,2007,05,03,              1.89
49.75,-110.75,2007,05,03,              1.89
49.75,-110.25,2007,05,03,              1.89
49.75,-109.75,2007,05,03,              3.24
49.75,-109.25,2007,05,03,              3.24
49.75,-108.75,2007,05,03,              3.24
49.75,-108.25,2007,05,03,              3.24
50.25,-112.25,2007,05,03,              0.87
50.25,-111.75,2007,05,03,              2.18
50.25,-111.25,2007,05,03,              2.18
50.25,-110.75,2007,05,03,              2.18
50.25,-110.25,2007,05,03,              2.18
50.25,-109.75,2007,05,03,              4.13
50.25,-109.25,2007,05,03,              4.13
50.25,-108.75,2007,05,03,              4.13
50.25,-108.25,2007,05,03,              4.13
46.25,-112.25,2007,05,04,              4.22
46.25,-111.75,2007,05,04,              7.35
46.25,-111.25,2007,05,04,              7.35
46.25,-110.75,2007,05,04,              7.35
46.25,-110.25,2007,05,04,              7.35
46.25,-109.75,2007,05,04,              7.22
46.25,-109.25,2007,05,04,              7.22
46.25,-108.75,2007,05,04,              7.22
46.25,-108.25,2007,05,04,              7.22
46.75,-112.25,2007,05,04,              4.22
46.75,-111.75,2007,05,04,              7.35
46.75,-111.25,2007,05,04,              7.35
46.75,-110.75,2007,05,04,              7.35
46.75,-110.25,2007,05,04,              7.35
46.75,-109.75,2007,05,04,              7.22
46.75,-109.25,2007,05,04,              7.22
46.75,-108.75,2007,05,04,              7.22
46.75,-108.25,2007,05,04,              7.22
47.25,-112.25,2007,05,04,              4.37
47.25,-111.75,2007,05,04,              6.00
47.25,-111.25,2007,05,04,              6.00
47.25,-110.75,2007,05,04,              6.00
47.25,-110.25,2007,05,04,              6.00
47.25,-109.75,2007,05,04,              7.04
47.25,-109.25,2007,05,04,              7.04
47.25,-108.75,2007,05,04,              7.04
47.25,-108.25,2007,05,04,              7.04
47.75,-112.25,2007,05,04,              4.37
47.75,-111.75,2007,05,04,              6.00
47.75,-111.25,2007,05,04,              6.00
47.75,-110.75,2007,05,04,              6.00
47.75,-110.25,2007,05,04,              6.00
47.75,-109.75,2007,05,04,              7.04
47.75,-109.25,2007,05,04,              7.04
47.75,-108.75,2007,05,04,              7.04
47.75,-108.25,2007,05,04,              7.04
48.25,-112.25,2007,05,04,              3.68
48.25,-111.75,2007,05,04,              4.28
48.25,-111.25,2007,05,04,              4.28
48.25,-110.75,2007,05,04,              4.28
48.25,-110.25,2007,05,04,              4.28
48.25,-109.75,2007,05,04,              5.38
48.25,-109.25,2007,05,04,              5.38
48.25,-108.75,2007,05,04,              5.38
48.25,-108.25,2007,05,04,              5.38
48.75,-112.25,2007,05,04,              3.68
48.75,-111.75,2007,05,04,              4.28
48.75,-111.25,2007,05,04,              4.28
48.75,-110.75,2007,05,04,              4.28
48.75,-110.25,2007,05,04,              4.28
48.75,-109.75,2007,05,04,              5.38
48.75,-109.25,2007,05,04,              5.38
48.75,-108.75,2007,05,04,              5.38
48.75,-108.25,2007,05,04,              5.38
49.25,-112.25,2007,05,04,              2.21
49.25,-111.75,2007,05,04,              3.12
49.25,-111.25,2007,05,04,              3.12
49.25,-110.75,2007,05,04,              3.12
49.25,-110.25,2007,05,04,              3.12
49.25,-109.75,2007,05,04,              3.70
49.25,-109.25,2007,05,04,              3.70
49.25,-108.75,2007,05,04,              3.70
49.25,-108.25,2007,05,04,              3.70
49.75,-112.25,2007,05,04,              2.21
49.75,-111.75,2007,05,04,              3.12
49.75,-111.25,2007,05,04,              3.12
49.75,-110.75,2007,05,04,              3.12
49.75,-110.25,2007,05,04,              3.12
49.75,-109.75,2007,05,04,              3.70
49.75,-109.25,2007,05,04,              3.70
49.75,-108.75,2007,05,04,              3.70
49.75,-108.25,2007,05,04,              3.70
50.25,-112.25,2007,05,04,              1.76
50.25,-111.75,2007,05,04,              2.12
50.25,-111.25,2007,05,04,              2.12
50.25,-110.75,2007,05,04,              2.12
50.25,-110.25,2007,05,04,              2.12
50.25,-109.75,2007,05,04,              2.88
50.25,-109.25,2007,05,04,              2.88
50.25,-108.75,2007,05,04,              2.88
50.25,-108.25,2007,05,04,              2.88
46.25,-112.25,2007,05,05,              5.72
46.25,-111.75,2007,05,05,              6.48
46.25,-111.25,2007,05,05,              6.48
46.25,-110.75,2007,05,05,              6.48
46.25,-110.25,2007,05,05,              6.48
46.25,-109.75,2007,05,05,              5.59
46.25,-109.25,2007,05,05,              5.59
46.25,-108.75,2007,05,05,              5.59
46.25,-108.25,2007,05,05,              5.59
46.75,-112.25,2007,05,05,              5.72
46.75,-111.75,2007,05,05,              6.48
46.75,-111.25,2007,05,05,              6.48
46.75,-110.75,2007,05,05,              6.48
46.75,-110.25,2007,05,05,              6.48
46.75,-109.75,2007,05,05,              5.59
46.75,-109.25,2007,05,05,              5.59
46.75,-108.75,2007,05,05,              5.59
46.75,-108.25,2007,05,05,              5.59
47.25,-112.25,2007,05,05,              5.74
47.25,-111.75,2007,05,05,              7.15
47.25,-111.25,2007,05,05,              7.15
47.25,-110.75,2007,05,05,              7.15
47.25,-110.25,2007,05,05,              7.15
47.25,-109.75,2007,05,05,              6.19
47.25,-109.25,2007,05,05,              6.19
47.25,-108.75,2007,05,05,              6.19
47.25,-108.25,2007,05,05,              6.19
47.75,-112.25,2007,05,05,              5.74
47.75,-111.75,2007,05,05,              7.15
47.75,-111.25,2007,05,05,              7.15
47.75,-110.75,2007,05,05,              7.15
47.75,-110.25,2007,05,05,              7.15
47.75,-109.75,2007,05,05,              6.19
47.75,-109.25,2007,05,05,              6.19
47.75,-108.75,2007,05,05,              6.19
47.75,-108.25,2007,05,05,              6.19
48.25,-112.25,2007,05,05,              6.28
48.25,-111.75,2007,05,05,              7.43
48.25,-111.25,2007,05,05,              7.43
48.25,-110.75,2007,05,05,              7.43
48.25,-110.25,2007,05,05,              7.43
48.25,-109.75,2007,05,05,              7.08
48.25,-109.25,2007,05,05,              7.08
48.25,-108.75,2007,05,05,              7.08
48.25,-108.25,2007,05,05,              7.08
48.75,-112.25,2007,05,05,              6.28
48.75,-111.75,2007,05,05,              7.43
48.75,-111.25,2007,05,05,              7.43
48.75,-110.75,2007,05,05,              7.43
48.75,-110.25,2007,05,05,              7.43
48.75,-109.75,2007,05,05,              7.08
48.75,-109.25,2007,05,05,              7.08
48.75,-108.75,2007,05,05,              7.08
48.75,-108.25,2007,05,05,              7.08
49.25,-112.25,2007,05,05,              6.46
49.25,-111.75,2007,05,05,              6.77
49.25,-111.25,2007,05,05,              6.77
49.25,-110.75,2007,05,05,              6.77
49.25,-110.25,2007,05,05,              6.77
49.25,-109.75,2007,05,05,              7.35
49.25,-109.25,2007,05,05,              7.35
49.25,-108.75,2007,05,05,              7.35
49.25,-108.25,2007,05,05,              7.35
49.75,-112.25,2007,05,05,              6.46
49.75,-111.75,2007,05,05,              6.77
49.75,-111.25,2007,05,05,              6.77
49.75,-110.75,2007,05,05,              6.77
49.75,-110.25,2007,05,05,              6.77
49.75,-109.75,2007,05,05,              7.35
49.75,-109.25,2007,05,05,              7.35
49.75,-108.75,2007,05,05,              7.35
49.75,-108.25,2007,05,05,              7.35
50.25,-112.25,2007,05,05,              6.96
50.25,-111.75,2007,05,05,              5.82
50.25,-111.25,2007,05,05,              5.82
50.25,-110.75,2007,05,05,              5.82
50.25,-110.25,2007,05,05,              5.82
50.25,-109.75,2007,05,05,              6.70
50.25,-109.25,2007,05,05,              6.70
50.25,-108.75,2007,05,05,              6.70
50.25,-108.25,2007,05,05,              6.70
46.25,-112.25,2007,05,06,              7.18
46.25,-111.75,2007,05,06,              7.85
46.25,-111.25,2007,05,06,              7.85
46.25,-110.75,2007,05,06,              7.85
46.25,-110.25,2007,05,06,              7.85
46.25,-109.75,2007,05,06,              7.87
46.25,-109.25,2007,05,06,              7.87
46.25,-108.75,2007,05,06,              7.87
46.25,-108.25,2007,05,06,              7.87
46.75,-112.25,2007,05,06,              7.18
46.75,-111.75,2007,05,06,              7.85
46.75,-111.25,2007,05,06,              7.85
46.75,-110.75,2007,05,06,              7.85
46.75,-110.25,2007,05,06,              7.85
46.75,-109.75,2007,05,06,              7.87
46.75,-109.25,2007,05,06,              7.87
46.75,-108.75,2007,05,06,              7.87
46.75,-108.25,2007,05,06,              7.87
47.25,-112.25,2007,05,06,              6.87
47.25,-111.75,2007,05,06,              7.60
47.25,-111.25,2007,05,06,              7.60
47.25,-110.75,2007,05,06,              7.60
47.25,-110.25,2007,05,06,              7.60
47.25,-109.75,2007,05,06,              7.29
47.25,-109.25,2007,05,06,              7.29
47.25,-108.75,2007,05,06,              7.29
47.25,-108.25,2007,05,06,              7.29
47.75,-112.25,2007,05,06,              6.87
47.75,-111.75,2007,05,06,              7.60
47.75,-111.25,2007,05,06,              7.60
47.75,-110.75,2007,05,06,              7.60
47.75,-110.25,2007,05,06,              7.60
47.75,-109.75,2007,05,06,              7.29
47.75,-109.25,2007,05,06,              7.29
47.75,-108.75,2007,05,06,              7.29
47.75,-108.25,2007,05,06,              7.29
48.25,-112.25,2007,05,06,              7.25
48.25,-111.75,2007,05,06,              7.68
48.25,-111.25,2007,05,06,              7.68
48.25,-110.75,2007,05,06,              7.68
48.25,-110.25,2007,05,06,              7.68
48.25,-109.75,2007,05,06,              7.18
48.25,-109.25,2007,05,06,              7.18
48.25,-108.75,2007,05,06,              7.18
48.25,-108.25,2007,05,06,              7.18
48.75,-112.25,2007,05,06,              7.25
48.75,-111.75,2007,05,06,              7.68
48.75,-111.25,2007,05,06,              7.68
48.75,-110.75,2007,05,06,              7.68
48.75,-110.25,2007,05,06,              7.68
48.75,-109.75,2007,05,06,              7.18
48.75,-109.25,2007,05,06,              7.18
48.75,-108.75,2007,05,06,              7.18
48.75,-108.25,2007,05,06,              7.18
49.25,-112.25,2007,05,06,              7.38
49.25,-111.75,2007,05,06,              7.56
49.25,-111.25,2007,05,06,              7.56
49.25,-110.75,2007,05,06,              7.56
49.25,-110.25,2007,05,06,              7.56
49.25,-109.75,2007,05,06,              7.14
49.25,-109.25,2007,05,06,              7.14
49.25,-108.75,2007,05,06,              7.14
49.25,-108.25,2007,05,06,              7.14
49.75,-112.25,2007,05,06,              7.38
49.75,-111.75,2007,05,06,              7.56
49.75,-111.25,2007,05,06,              7.56
49.75,-110.75,2007,05,06,              7.56
49.75,-110.25,2007,05,06,              7.56
49.75,-109.75,2007,05,06,              7.14
49.75,-109.25,2007,05,06,              7.14
49.75,-108.75,2007,05,06,              7.14
49.75,-108.25,2007,05,06,              7.14
50.25,-112.25,2007,05,06,              7.01
50.25,-111.75,2007,05,06,              7.57
50.25,-111.25,2007,05,06,              7.57
50.25,-110.75,2007,05,06,              7.57
50.25,-110.25,2007,05,06,              7.57
50.25,-109.75,2007,05,06,              7.66
50.25,-109.25,2007,05,06,              7.66
50.25,-108.75,2007,05,06,              7.66
50.25,-108.25,2007,05,06,              7.66
46.25,-112.25,2007,05,07,              5.11
46.25,-111.75,2007,05,07,              6.88
46.25,-111.25,2007,05,07,              6.88
46.25,-110.75,2007,05,07,              6.88
46.25,-110.25,2007,05,07,              6.88
46.25,-109.75,2007,05,07,              6.68
46.25,-109.25,2007,05,07,              6.68
46.25,-108.75,2007,05,07,              6.68
46.25,-108.25,2007,05,07,              6.68
46.75,-112.25,2007,05,07,              5.11
46.75,-111.75,2007,05,07,              6.88
46.75,-111.25,2007,05,07,              6.88
46.75,-110.75,2007,05,07,              6.88
46.75,-110.25,2007,05,07,              6.88
46.75,-109.75,2007,05,07,              6.68
46.75,-109.25,2007,05,07,              6.68
46.75,-108.75,2007,05,07,              6.68
46.75,-108.25,2007,05,07,              6.68
47.25,-112.25,2007,05,07,              4.94
47.25,-111.75,2007,05,07,              5.89
47.25,-111.25,2007,05,07,              5.89
47.25,-110.75,2007,05,07,              5.89
47.25,-110.25,2007,05,07,              5.89
47.25,-109.75,2007,05,07,              6.24
47.25,-109.25,2007,05,07,              6.24
47.25,-108.75,2007,05,07,              6.24
47.25,-108.25,2007,05,07,              6.24
47.75,-112.25,2007,05,07,              4.94
47.75,-111.75,2007,05,07,              5.89
47.75,-111.25,2007,05,07,              5.89
47.75,-110.75,2007,05,07,              5.89
47.75,-110.25,2007,05,07,              5.89
47.75,-109.75,2007,05,07,              6.24
47.75,-109.25,2007,05,07,              6.24
47.75,-108.75,2007,05,07,              6.24
47.75,-108.25,2007,05,07,              6.24
48.25,-112.25,2007,05,07,              3.94
48.25,-111.75,2007,05,07,              5.30
48.25,-111.25,2007,05,07,              5.30
48.25,-110.75,2007,05,07,              5.30
48.25,-110.25,2007,05,07,              5.30
48.25,-109.75,2007,05,07,              6.15
48.25,-109.25,2007,05,07,              6.15
48.25,-108.75,2007,05,07,              6.15
48.25,-108.25,2007,05,07,              6.15
48.75,-112.25,2007,05,07,              3.94
48.75,-111.75,2007,05,07,              5.30
48.75,-111.25,2007,05,07,              5.30
48.75,-110.75,2007,05,07,              5.30
48.75,-110.25,2007,05,07,              5.30
48.75,-109.75,2007,05,07,              6.15
48.75,-109.25,2007,05,07,              6.15
48.75,-108.75,2007,05,07,              6.15
48.75,-108.25,2007,05,07,              6.15
49.25,-112.25,2007,05,07,              4.51
49.25,-111.75,2007,05,07,              5.51
49.25,-111.25,2007,05,07,              5.51
49.25,-110.75,2007,05,07,              5.51
49.25,-110.25,2007,05,07,              5.51
49.25,-109.75,2007,05,07,              6.63
49.25,-109.25,2007,05,07,              6.63
49.25,-108.75,2007,05,07,              6.63
49.25,-108.25,2007,05,07,              6.63
49.75,-112.25,2007,05,07,              4.51
49.75,-111.75,2007,05,07,              5.51
49.75,-111.25,2007,05,07,              5.51
49.75,-110.75,2007,05,07,              5.51
49.75,-110.25,2007,05,07,              5.51
49.75,-109.75,2007,05,07,              6.63
49.75,-109.25,2007,05,07,              6.63
49.75,-108.75,2007,05,07,              6.63
49.75,-108.25,2007,05,07,              6.63
50.25,-112.25,2007,05,07,              6.11
50.25,-111.75,2007,05,07,              5.99
50.25,-111.25,2007,05,07,              5.99
50.25,-110.75,2007,05,07,              5.99
50.25,-110.25,2007,05,07,              5.99
50.25,-109.75,2007,05,07,              6.89
50.25,-109.25,2007,05,07,              6.89
50.25,-108.75,2007,05,07,              6.89
50.25,-108.25,2007,05,07,              6.89
46.25,-112.25,2007,05,08,              7.81
46.25,-111.75,2007,05,08,              8.15
46.25,-111.25,2007,05,08,              8.15
46.25,-110.75,2007,05,08,              8.15
46.25,-110.25,2007,05,08,              8.15
46.25,-109.75,2007,05,08,              7.93
46.25,-109.25,2007,05,08,              7.93
46.25,-108.75,2007,05,08,              7.93
46.25,-108.25,2007,05,08,              7.93
46.75,-112.25,2007,05,08,              7.81
46.75,-111.75,2007,05,08,              8.15
46.75,-111.25,2007,05,08,              8.15
46.75,-110.75,2007,05,08,              8.15
46.75,-110.25,2007,05,08,              8.15
46.75,-109.75,2007,05,08,              7.93
46.75,-109.25,2007,05,08,              7.93
46.75,-108.75,2007,05,08,              7.93
46.75,-108.25,2007,05,08,              7.93
47.25,-112.25,2007,05,08,              6.99
47.25,-111.75,2007,05,08,              7.34
47.25,-111.25,2007,05,08,              7.34
47.25,-110.75,2007,05,08,              7.34
47.25,-110.25,2007,05,08,              7.34
47.25,-109.75,2007,05,08,              7.78
47.25,-109.25,2007,05,08,              7.78
47.25,-108.75,2007,05,08,              7.78
47.25,-108.25,2007,05,08,              7.78
47.75,-112.25,2007,05,08,              6.99
47.75,-111.75,2007,05,08,              7.34
47.75,-111.25,2007,05,08,              7.34
47.75,-110.75,2007,05,08,              7.34
47.75,-110.25,2007,05,08,              7.34
47.75,-109.75,2007,05,08,              7.78
47.75,-109.25,2007,05,08,              7.78
47.75,-108.75,2007,05,08,              7.78
47.75,-108.25,2007,05,08,              7.78
48.25,-112.25,2007,05,08,              6.07
48.25,-111.75,2007,05,08,              5.96
48.25,-111.25,2007,05,08,              5.96
48.25,-110.75,2007,05,08,              5.96
48.25,-110.25,2007,05,08,              5.96
48.25,-109.75,2007,05,08,              7.78
48.25,-109.25,2007,05,08,              7.78
48.25,-108.75,2007,05,08,              7.78
48.25,-108.25,2007,05,08,              7.78
48.75,-112.25,2007,05,08,              6.07
48.75,-111.75,2007,05,08,              5.96
48.75,-111.25,2007,05,08,              5.96
48.75,-110.75,2007,05,08,              5.96
48.75,-110.25,2007,05,08,              5.96
48.75,-109.75,2007,05,08,              7.78
48.75,-109.25,2007,05,08,              7.78
48.75,-108.75,2007,05,08,              7.78
48.75,-108.25,2007,05,08,              7.78
49.25,-112.25,2007,05,08,              6.06
49.25,-111.75,2007,05,08,              5.12
49.25,-111.25,2007,05,08,              5.12
49.25,-110.75,2007,05,08,              5.12
49.25,-110.25,2007,05,08,              5.12
49.25,-109.75,2007,05,08,              7.35
49.25,-109.25,2007,05,08,              7.35
49.25,-108.75,2007,05,08,              7.35
49.25,-108.25,2007,05,08,              7.35
49.75,-112.25,2007,05,08,              6.06
49.75,-111.75,2007,05,08,              5.12
49.75,-111.25,2007,05,08,              5.12
49.75,-110.75,2007,05,08,              5.12
49.75,-110.25,2007,05,08,              5.12
49.75,-109.75,2007,05,08,              7.35
49.75,-109.25,2007,05,08,              7.35
49.75,-108.75,2007,05,08,              7.35
49.75,-108.25,2007,05,08,              7.35
50.25,-112.25,2007,05,08,              6.92
50.25,-111.75,2007,05,08,              5.16
50.25,-111.25,2007,05,08,              5.16
50.25,-110.75,2007,05,08,              5.16
50.25,-110.25,2007,05,08,              5.16
50.25,-109.75,2007,05,08,              6.62
50.25,-109.25,2007,05,08,              6.62
50.25,-108.75,2007,05,08,              6.62
50.25,-108.25,2007,05,08,              6.62
46.25,-112.25,2007,05,09,              7.38
46.25,-111.75,2007,05,09,              6.96
